Date,Price,Open,High,Low,Vol.,Change %
Aug 31 2018,1241.65,1270.00,1270.00,1236.60,15.31,-0.03
Aug 30 2018,1274.45,1293.60,1297.15,1270.45,9.85,-0.02
Aug 29 2018,1294.20,1316.30,1329.00,1290.20,11.08,-0.02
Aug 28 2018,1319.00,1296.00,1323.00,1295.00,8.69,0.02
Aug 27 2018,1291.50,1279.40,1295.85,1278.75,5.57,0.01
Aug 24 2018,1277.50,1265.25,1279.95,1260.05,6.65,0.01
Aug 23 2018,1269.45,1246.30,1274.00,1238.40,7.97,0.02
Aug 21 2018,1247.20,1237.25,1251.50,1227.00,7.28,0.01
Aug 20 2018,1234.90,1207.90,1236.80,1207.65,7.61,0.03
Aug 17 2018,1203.75,1209.00,1215.40,1200.05,3.83,0.00
Aug 16 2018,1200.80,1203.25,1216.00,1195.50,5.98,-0.01
Aug 14 2018,1210.60,1190.00,1217.20,1184.30,5.30,0.02
Aug 13 2018,1187.70,1197.55,1199.95,1182.70,4.67,-0.01
Aug 10 2018,1204.20,1211.00,1215.00,1202.30,3.58,-0.01
Aug 09 2018,1217.95,1221.50,1231.70,1212.00,6.85,0.00
Aug 08 2018,1217.70,1185.00,1222.50,1185.00,7.91,0.03
Aug 07 2018,1184.20,1194.90,1201.40,1177.00,4.06,-0.01
Aug 06 2018,1192.60,1176.70,1196.00,1175.35,4.02,0.01
Aug 03 2018,1176.95,1175.00,1183.50,1169.55,6.65,0.01
Aug 02 2018,1168.35,1191.50,1191.50,1165.95,6.25,-0.02
Aug 01 2018,1192.35,1190.40,1202.90,1185.40,9.70,0.01
Jul 31 2018,1186.00,1151.00,1190.40,1147.15,13.88,0.03
Jul 30 2018,1151.40,1130.00,1157.30,1128.00,13.87,0.02
Jul 27 2018,1129.85,1119.50,1137.40,1112.15,6.68,0.02
Jul 26 2018,1110.65,1110.10,1121.50,1107.80,6.42,0.00
Jul 25 2018,1115.15,1110.00,1123.00,1104.20,5.95,0.00
Jul 24 2018,1110.95,1122.00,1126.75,1107.40,4.47,-0.01
Jul 23 2018,1120.30,1129.80,1129.80,1113.10,5.84,-0.01
Jul 20 2018,1128.65,1113.40,1138.50,1111.90,8.02,0.02
Jul 19 2018,1104.85,1093.30,1115.00,1086.35,5.43,0.01
Jul 18 2018,1092.55,1098.40,1104.60,1077.30,4.68,0.00
Jul 17 2018,1092.35,1078.30,1095.95,1069.60,6.47,0.02
Jul 16 2018,1076.20,1099.80,1108.90,1073.05,6.60,-0.02
Jul 13 2018,1099.80,1080.50,1109.00,1080.00,17.97,0.02
Jul 12 2018,1082.35,1044.35,1099.00,1042.60,24.11,0.04
Jul 11 2018,1038.80,1025.00,1040.90,1017.85,8.67,0.01
Jul 10 2018,1025.70,1002.75,1028.50,1000.00,10.44,0.03
Jul 09 2018,997.10,987.10,1000.00,983.50,5.17,0.02
Jul 06 2018,977.55,964.75,983.00,964.50,9.16,0.01
Jul 05 2018,964.50,997.00,1008.40,958.60,18.72,-0.03
Jul 04 2018,990.10,971.80,992.00,971.00,5.00,0.02
